epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20290.9,0.32933,0.32725,0.79239,0.97071,0.97694,0.9932,0.98038,0.23191,0.17671,0.76561,0.00492625,0.00492625,0.00492625
43,20772.5,0.32827,0.32507,0.79216,0.9721,0.97621,0.99322,0.9803,0.23154,0.17589,0.76556,0.0048025,0.0048025,0.0048025
44,21253.1,0.32728,0.32253,0.79223,0.96998,0.97776,0.99327,0.98052,0.23089,0.17511,0.76551,0.00467875,0.00467875,0.00467875
45,21733.9,0.32619,0.32126,0.79231,0.97038,0.97809,0.9933,0.98069,0.23,0.17433,0.76541,0.004555,0.004555,0.004555
46,22214.8,0.32485,0.3182,0.79184,0.96965,0.97927,0.99334,0.9809,0.22927,0.17346,0.7653,0.00443125,0.00443125,0.00443125
47,22692.9,0.3236,0.31575,0.79158,0.9719,0.97817,0.99339,0.98112,0.22842,0.17259,0.76521,0.0043075,0.0043075,0.0043075
48,23169.8,0.32246,0.3134,0.79138,0.97156,0.97893,0.99344,0.98153,0.22778,0.17159,0.76514,0.00418375,0.00418375,0.00418375
49,23647.3,0.32145,0.31254,0.79143,0.97243,0.97899,0.99346,0.98145,0.22731,0.17104,0.76509,0.00406,0.00406,0.00406
50,24124.3,0.32009,0.30889,0.79119,0.97391,0.97723,0.9935,0.98153,0.22681,0.17058,0.76506,0.00393625,0.00393625,0.00393625
51,24602.4,0.319,0.307,0.79095,0.97402,0.97871,0.99354,0.98183,0.22606,0.1695,0.76497,0.0038125,0.0038125,0.0038125
52,25084,0.31733,0.30384,0.79082,0.97564,0.97723,0.99357,0.98185,0.22542,0.16863,0.76487,0.00368875,0.00368875,0.00368875
53,25565,0.31677,0.30205,0.79083,0.97524,0.97742,0.9936,0.9821,0.22471,0.16765,0.7648,0.003565,0.003565,0.003565
54,26045.6,0.31518,0.29929,0.79039,0.97574,0.97756,0.99364,0.9824,0.22377,0.16651,0.76467,0.00344125,0.00344125,0.00344125
55,26526.8,0.31319,0.29648,0.78998,0.97565,0.97878,0.99365,0.98261,0.22321,0.16576,0.7646,0.0033175,0.0033175,0.0033175
56,27006.6,0.31258,0.29451,0.79021,0.97437,0.9799,0.99366,0.98255,0.22282,0.16509,0.76455,0.00319375,0.00319375,0.00319375
57,27483.9,0.31109,0.29145,0.78997,0.97522,0.97887,0.99366,0.98256,0.22264,0.16475,0.76454,0.00307,0.00307,0.00307
58,27960.8,0.30982,0.28962,0.78955,0.97484,0.97992,0.99369,0.98263,0.22217,0.16396,0.76448,0.00294625,0.00294625,0.00294625
59,28444,0.30864,0.28596,0.78929,0.97666,0.9785,0.99372,0.98312,0.22153,0.16325,0.7644,0.0028225,0.0028225,0.0028225
60,28926.8,0.30678,0.28365,0.78928,0.97761,0.97755,0.99375,0.98318,0.22078,0.16249,0.76431,0.00269875,0.00269875,0.00269875
61,29407.4,0.30578,0.28041,0.78886,0.97736,0.97825,0.99375,0.9833,0.21988,0.16154,0.76422,0.002575,0.002575,0.002575
62,29891.8,0.30394,0.27756,0.78871,0.97679,0.9796,0.99378,0.98352,0.21938,0.16073,0.76414,0.00245125,0.00245125,0.00245125
63,30374.3,0.30262,0.27492,0.78869,0.9783,0.97849,0.99383,0.98359,0.21854,0.1598,0.76405,0.0023275,0.0023275,0.0023275
64,30856.8,0.30063,0.27177,0.7884,0.9763,0.98041,0.99387,0.98378,0.21775,0.15919,0.76398,0.00220375,0.00220375,0.00220375
65,31340.6,0.29965,0.26853,0.78825,0.97425,0.98283,0.9939,0.984,0.21709,0.15866,0.76392,0.00208,0.00208,0.00208
66,31822.2,0.29713,0.2647,0.78754,0.97489,0.9827,0.99392,0.98412,0.21615,0.15762,0.76383,0.00195625,0.00195625,0.00195625
67,32303.6,0.2956,0.26112,0.78725,0.97483,0.98269,0.99397,0.98438,0.21525,0.15676,0.76373,0.0018325,0.0018325,0.0018325
68,32785.5,0.29393,0.25823,0.78702,0.97811,0.9802,0.99397,0.98454,0.21448,0.156,0.76359,0.00170875,0.00170875,0.00170875
69,33264.7,0.29197,0.2548,0.78685,0.9798,0.97977,0.99402,0.98458,0.21379,0.15483,0.7635,0.001585,0.001585,0.001585
70,33744.9,0.28996,0.25119,0.78678,0.97779,0.98154,0.99404,0.98468,0.21304,0.15382,0.7635,0.00146125,0.00146125,0.00146125
71,34224.6,0.24343,0.19646,0.76973,0.97951,0.98134,0.99411,0.98523,0.21015,0.15136,0.76328,0.0013375,0.0013375,0.0013375
72,34701.7,0.23901,0.19055,0.76882,0.97926,0.98308,0.99417,0.98561,0.20746,0.14889,0.76302,0.00121375,0.00121375,0.00121375
73,35177.8,0.23549,0.18461,0.76851,0.97865,0.98441,0.99421,0.98603,0.20506,0.14669,0.76285,0.00109,0.00109,0.00109
74,35658.1,0.23255,0.18003,0.76813,0.97967,0.98461,0.99424,0.98616,0.20283,0.14468,0.76271,0.00096625,0.00096625,0.00096625
75,36139.2,0.22979,0.17534,0.76794,0.98099,0.98399,0.99428,0.98644,0.2008,0.14281,0.76257,0.0008425,0.0008425,0.0008425
76,36617.5,0.2267,0.16978,0.76763,0.98238,0.98313,0.99432,0.98663,0.19896,0.14122,0.76244,0.00071875,0.00071875,0.00071875
77,37095.5,0.22368,0.16389,0.76744,0.98336,0.9828,0.99434,0.98694,0.19754,0.13967,0.76234,0.000595,0.000595,0.000595
78,37573.9,0.22047,0.15872,0.7671,0.98353,0.98374,0.99434,0.987,0.19624,0.13845,0.7622,0.00047125,0.00047125,0.00047125
79,38050.8,0.21706,0.15246,0.76654,0.9838,0.98338,0.99435,0.98726,0.19503,0.13708,0.76206,0.0003475,0.0003475,0.0003475
80,38531.2,0.21421,0.14652,0.76632,0.98472,0.98308,0.99433,0.98742,0.19393,0.13618,0.76193,0.00022375,0.00022375,0.00022375
